Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
,交易日期：,2025/12/06,序 號：,0098,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,16:40:06
2,A0701,A套餐,1,0,48,AP 單品入帳,16:40:06
,合計,,2,0,176,,
,,,,,,,
,TOTAL,,,,176,現金付款,
,發票編號：,VM14254747 ～ VM14254747,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0099,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050302,百味俱樂部堡12吋,1,0,230,AP 單品入帳,16:42:35
,合計,,1,0,230,,
,,,,,,,
,TOTAL,,,,230,現金付款,
,發票編號：,VM14254748 ～ VM14254748,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0100,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020402,照燒雞肉堡12吋,1,0,230,AP 單品入帳,16:44:51
2,A060201,蛋沙拉1球,2,0,70,AP 單品入帳,16:44:51
3,A172801,辣豆瓣嫩牛6吋,1,0,159,AP 單品入帳,16:44:51
4,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,16:44:51
,合計,,5,0,584,,
,,,,,,,
,TOTAL,,,,584,現金付款,
,發票編號：,VM14254749 ～ VM14254749,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0102,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050402,哈燒起司總匯堡12吋,1,0,225,AP 單品入帳,16:51:22
2,A0701,A套餐,1,0,53,AP 單品入帳,16:51:22
6,A0701,A套餐,1,0,53,AP 單品入帳,16:51:22
,合計,,3,0,331,,
,,,,,,,
,TOTAL,,,,331,現金付款,
,發票編號：,VM14254750 ～ VM14254750,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0104,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,16:54:17
,合計,,1,0,149,,
,,,,,,,
,TOTAL,,,,149,信用卡付款,
,發票編號：,VM14254751 ～ VM14254751,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0105,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
3,A020303,香烤雞肉烤餅6吋,1,0,135,AP 單品入帳,17:00:27
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,17:00:27
5,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,17:00:27
6,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,17:00:27
7,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:00:27
8,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:00:27
9,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,17:00:27
,合計,,7,0,532,,
,,,,,,,
,TOTAL,,,,532,現金付款,
,發票編號：,VM14254752 ～ VM14254752,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0106,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A172802,辣豆瓣嫩牛6吋烤餅,1,169,0,AP 單品入帳,17:16:58
2,A172805,辣豆瓣嫩牛雙份肉料,1,55,0,AP 單品入帳,17:16:58
3,A082701,蘑菇濃湯,1,69,0,AP 單品入帳,17:16:58
,合計,,3,293,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/12/06,序 號：,0108,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020306,香烤雞肉雙份肉料,1,27,28,AP 單品入帳,17:17:51
2,A060601,嫩煎蛋一片,1,17,18,AP 單品入帳,17:17:51
,合計,,2,44,46,,
,,,,,,,
,TOTAL,,,,46,現金付款,
,發票編號：,VM14254753 ～ VM14254753,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130001員工餐半價
,交易日期：,2025/12/06,序 號：,0109,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020306,香烤雞肉雙份肉料,1,55,0,AP 單品入帳,17:19:33
2,A060601,嫩煎蛋一片,1,35,0,AP 單品入帳,17:19:33
,合計,,2,90,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/12/06,序 號：,0112,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A020402,照燒雞肉堡12吋,1,0,230,AP 單品入帳,17:20:28
3,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,17:20:28
,合計,,2,0,379,,
,,,,,,,
,TOTAL,,,,379,現金付款,
,發票編號：,VM14254754 ～ VM14254754,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0113,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,17:26:31
2,A0701,A套餐,1,0,48,AP 單品入帳,17:26:31
,合計,,2,0,177,,
,,,,,,,
,TOTAL,,,,177,Line Pay付款,
,發票編號：,VM14254755 ～ VM14254755,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0114,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,17:29:43
2,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,17:29:43
,合計,,2,0,253,,
,,,,,,,
,TOTAL,,,,253,現金付款,
,發票編號：,VM14254756 ～ VM14254756,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0115,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,17:31:28
,合計,,1,0,135,,
,,,,,,,
,TOTAL,,,,135,現金付款,
,發票編號：,VM14254757 ～ VM14254757,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0116,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,17:36:58
,合計,,1,0,102,,
,,,,,,,
,TOTAL,,,,102,Line Pay付款,
,發票編號：,VM14254758 ～ VM14254758,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0117,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,17:49:57
2,A020401,照燒雞肉堡6吋,2,0,256,AP 單品入帳,17:49:57
3,A020406,照燒雞肉雙份肉料,1,0,55,AP 單品入帳,17:49:57
4,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:49:57
5,A020403,照燒雞肉烤餅6吋,1,0,138,AP 單品入帳,17:49:57
,合計,,6,0,586,,
,,,,,,,
,TOTAL,,,,586,Line Pay付款,
,發票編號：,VM14254761 ～ VM14254761,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0118,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050102,義大利經典堡12吋,1,0,243,AP 單品入帳,17:43:07
2,A0703,C套餐,1,0,55,AP 單品入帳,17:43:07
,合計,,2,0,298,,
,,,,,,,
,TOTAL,,,,298,現金付款,
,發票編號：,VM14254759 ～ VM14254759,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0119,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B203,嫩切雞肉,1,0,189,AP 單品入帳,17:45:26
5,B211,百味俱樂部,1,0,209,AP 單品入帳,17:45:26
,合計,,2,0,398,,
,,,,,,,
,TOTAL,,,,398,FoodPanda付款,
,發票編號：,VM14254760 ～ VM14254760,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0120,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,17:58:47
2,A0701,A套餐,1,0,48,AP 單品入帳,17:58:47
6,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,17:58:47
7,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,17:58:47
8,A0706,F套餐,1,0,85,AP 單品入帳,17:58:47
,合計,,5,0,585,,
,,,,,,,
,TOTAL,,,,585,信用卡付款,
,發票編號：,VM14254762 ～ VM14254762,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0121,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020505,鮮嫩雞柳沙拉,1,0,163,AP 單品入帳,18:05:40
2,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,18:05:40
3,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,18:05:40
4,A0706,F套餐,1,0,85,AP 單品入帳,18:05:40
,合計,,4,0,512,,
,,,,,,,
,TOTAL,,,,512,現金付款,
,發票編號：,VM14254763 ～ VM14254763,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0122,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,18:09:03
2,A0704,D套餐,1,0,78,AP 單品入帳,18:09:03
,合計,,2,0,203,,
,,,,,,,
,TOTAL,,,,203,Line Pay付款,
,發票編號：,VM14254764 ～ VM14254764,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0123,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,18:10:44
2,A060201,蛋沙拉1球,2,0,70,AP 單品入帳,18:10:44
,合計,,3,0,295,,
,,,,,,,
,TOTAL,,,,295,信用卡付款,
,發票編號：,VM14254765 ～ VM14254765,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0124,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B351,辣豆瓣嫩牛雙人餐,1,0,299,AP 單品入帳,18:21:42
,合計,,1,0,299,,
,,,,,,,
,TOTAL,,,,299,信用卡付款,
,發票編號：,VM14254766 ～ VM14254766,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0125,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,18:23:41
2,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,18:23:41
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:23:41
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:23:41
5,A0701,A套餐,1,0,48,AP 單品入帳,18:23:41
9,A0703,C套餐,1,0,55,AP 單品入帳,18:23:41
,合計,,6,0,426,,
,,,,,,,
,TOTAL,,,,426,現金付款,
,發票編號：,VM14254767 ～ VM14254767,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0126,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,18:26:55
2,A0706,F套餐,1,0,85,AP 單品入帳,18:26:55
,合計,,2,0,187,,
,,,,,,,
,TOTAL,,,,187,Line Pay付款,
,發票編號：,VM14254768 ～ VM14254768,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0127,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,18:29:29
2,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,18:29:29
3,A0704,D套餐,1,0,78,AP 單品入帳,18:29:29
,合計,,3,0,352,,
,,,,,,,
,TOTAL,,,,352,信用卡付款,
,發票編號：,VM14254769 ～ VM14254769,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0128,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0203,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub,1,0,219,AP 單品入帳,18:31:55
,合計,,1,0,219,,
,,,,,,,
,TOTAL,,,,219,UberEats付款,
,發票編號：,VM14254770 ～ VM14254770,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0129,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0204,6吋鮪魚潛艇堡 6-Inch Tuna Sub,1,0,208,AP 單品入帳,18:32:37
11,U0204,6吋鮪魚潛艇堡 6-Inch Tuna Sub,1,0,206,AP 單品入帳,18:32:37
,合計,,2,0,414,,
,,,,,,,
,TOTAL,,,,414,UberEats付款,
,發票編號：,VM14254771 ～ VM14254771,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0130,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,18:33:18
2,A050301,百味俱樂部堡6吋,1,0,128,AP 單品入帳,18:33:18
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:33:18
4,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:33:18
,合計,,4,0,326,,
,,,,,,,
,TOTAL,,,,326,Line Pay付款,
,發票編號：,VM14254772 ～ VM14254772,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0131,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,18:34:57
2,A020302,香烤雞肉堡12吋,1,0,225,AP 單品入帳,18:34:57
3,A0815,餅乾3片,1,0,60,AP 單品入帳,18:34:57
,合計,,3,0,410,,
,,,,,,,
,TOTAL,,,,410,信用卡付款,
,發票編號：,VM14254773 ～ VM14254773,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0132,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,18:37:05
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:37:05
3,A0815,餅乾3片,1,0,60,AP 單品入帳,18:37:05
8,A080901,薯餅,1,0,30,AP 單品入帳,18:37:05
,合計,,4,0,274,,
,,,,,,,
,TOTAL,,,,274,信用卡付款,
,發票編號：,VM14254774 ～ VM14254774,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0133,,統一編號：,42439019
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,18:38:55
2,A060301,培根1條,1,0,23,AP 單品入帳,18:38:55
3,A0815,餅乾3片,1,0,60,AP 單品入帳,18:38:55
,合計,,3,0,232,,
,,,,,,,
,TOTAL,,,,232,Line Pay付款,
,發票編號：,VM14254775 ～ VM14254775,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0134,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030202,燒烤牛肉堡12吋,1,0,250,AP 單品入帳,18:40:35
2,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,18:40:35
3,A0815,餅乾3片,1,0,60,AP 單品入帳,18:40:35
,合計,,3,0,439,,
,,,,,,,
,TOTAL,,,,439,Line Pay付款,
,發票編號：,VM14254776 ～ VM14254776,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0135,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B221,蛋沙拉百味,1,0,286,AP 單品入帳,18:42:47
,合計,,1,0,286,,
,,,,,,,
,TOTAL,,,,286,FoodPanda付款,
,發票編號：,VM14254777 ～ VM14254777,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0136,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B351,辣豆瓣嫩牛雙人餐,1,0,299,AP 單品入帳,18:45:54
5,A090102,杯裝飲料(22oz),1,0,38,AP 單品入帳,18:45:54
,合計,,2,0,337,,
,,,,,,,
,TOTAL,,,,337,現金付款,
,發票編號：,VM14254778 ～ VM14254778,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0138,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,18:47:26
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:47:26
3,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,18:47:26
,合計,,3,0,195,,
,,,,,,,
,TOTAL,,,,195,信用卡付款,
,發票編號：,VM14254779 ～ VM14254779,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/06,序 號：,0139,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0203,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub,1,0,224,AP 單品入帳,18:48:27
,合計,,1,0,224,,
,,,,,,,
,TOTAL,,,,224,UberEats付款,
